format_name_text,version_text,format_text,last_updated_date,provenance_text,puid
Online Description Tool Format,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/3
FoxPro Database,2.0,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/6
FoxPro Database,2.5,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/7
Macintosh Text File,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/14
Unicode Text File,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/16
7-bit ANSI Text,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/21
7-bit ASCII Text,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/22
AutoCAD Batch Plot File,1.0-R14,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/26
AutoCAD Batch Plot File,2000-2005,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/27
CorelDraw Template,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/30
CorelDraw Compressed Drawing,NULL,"This is an outline record only, and requires further details, research or authentication to provide information that will enable users to further understand the format and to assess digital preservation risks associated with it if appropriate. If you are able to help by supplying any additional information concerning this entry, please return to the main PRONOM page and select ‘Add an Entry’.",2005-08-02 12:08:55.673,NULL,x-fmt/31
