PUID,FORMAT,SIGNATURES,BOF Offset,XML Declaration,Root tag,Root tag offset,Default namespace,Elements/attributes,Text encodings
FMT/91,SCALABLE VECTOR GRAPHICS,"(F B:0 seq ""<?xml version=\""1.0\"""" | WL P seq ""<svg"" | WL P seq ""svg>"")",,,,,,,
FMT/92,SCALABLE VECTOR GRAPHICS,"(F B:0 seq ""<?xml version=\""1.0\"""" | WL P seq ""<svg"" | WL P seq ""version=\""1.1\"""" | WL P seq ""svg>"")",,,,,,,
FMT/96,HYPERTEXT MARKUP LANGUAGE,"(WW B:0-1024 seq ""<"" | F P:0 c[seq ""HTML"",seq ""html""] | F S:0 seq ""</"" | F S:0 c[seq ""BODY"",seq ""HTML"",seq ""body"",seq ""html""] | WW E:0-1024 seq "">"")(WW B:0-2048 seq ""<\x00"" | F P:0 c[seq ""H\x00T\x00M\x00L\x00"",seq ""h\x00t\x00m\x00l\x00""] | F S:0 seq ""<\x00/\x00"" | F S:0 c[seq ""B\x00O\x00D\x00Y\x00"",seq ""H\x00T\x00M\x00L\x00"",seq ""b\x00o\x00d\x00y\x00"",seq ""h\x00t\x00m\x00l\x00""] | WW E:0-2048 seq "">\x00"")",,,,,,,
FMT/97,HYPERTEXT MARKUP LANGUAGE,"(WW B:0-1024 seq ""<!"" | F P:0 c[seq ""DOCTYPE"",seq ""doctype""] | F P:0 seq "" "" | F P:0 c[seq ""HTML"",seq ""html""] | F P:0 seq "" "" | F P:0 c[seq ""PUBLIC"",seq ""public""] | F P:0 seq "" \""-//"" | WW P:1-16 seq ""//"" | F P:0 c[seq ""DTD"",seq ""dtd""] | F P:0 seq "" "" | WW P:0-64 c[seq ""HTML"",seq ""html""] | F P:0 seq "" 2.0"")",,,,,,,
FMT/98,HYPERTEXT MARKUP LANGUAGE,"(WW B:0-1024 seq ""<!"" | F P:0 c[seq ""DOCTYPE"",seq ""doctype""] | F P:0 seq "" "" | F P:0 c[seq ""HTML"",seq ""html""] | F P:0 seq "" "" | F P:0 c[seq ""PUBLIC"",seq ""public""] | F P:0 seq "" \""-//"" | WW P:1-16 seq ""//"" | F P:0 c[seq ""DTD"",seq ""dtd""] | F P:0 seq "" "" | WW P:0-64 c[seq ""HTML"",seq ""html""] | F P:0 seq "" 3.2"")",,,,,,,
FMT/99,HYPERTEXT MARKUP LANGUAGE,"(WW B:0-1024 seq ""<!"" | F P:0 c[seq ""DOCTYPE"",seq ""doctype""] | F P:0 seq "" "" | F P:0 c[seq ""HTML"",seq ""html""] | F P:0 seq "" "" | F P:0 c[seq ""PUBLIC"",seq ""public""] | F P:0 seq "" \""-//"" | WW P:1-16 seq ""//"" | F P:0 c[seq ""DTD"",seq ""dtd""] | F P:0 seq "" "" | WW P:0-64 c[seq ""HTML"",seq ""html""] | F P:0 seq "" 4."" | F P:0 c[seq ""0 "",seq ""0/""])",,,,,,,
FMT/100,HYPERTEXT MARKUP LANGUAGE,"(WW B:0-1024 seq ""<!"" | F P:0 c[seq ""DOCTYPE"",seq ""doctype""] | F P:0 seq "" "" | F P:0 c[seq ""HTML"",seq ""html""] | F P:0 seq "" "" | F P:0 c[seq ""PUBLIC"",seq ""public""] | F P:0 seq "" \""-//"" | WW P:1-16 seq ""//"" | F P:0 c[seq ""DTD"",seq ""dtd""] | F P:0 seq "" "" | WW P:0-64 c[seq ""HTML"",seq ""html""] | F P:0 seq "" 4.01"")",,,,,,,
FMT/101,EXTENSIBLE MARKUP LANGUAGE,"(WW B:0-3 seq ""<?xml version="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""1.0"" | F P:0 c[seq ""\"""",seq ""'""])",,,,,,,
FMT/102,EXTENSIBLE HYPERTEXT MARKUP LANGUAGE,"(WW B:0-1024 seq ""<!DOCTYPE html PUBLIC \""-//W3C//DTD XHTML 1.0"" | WL B seq ""<html xmlns=\""http://www.w3.org/1999/xhtml\"""" | WL P seq ""<title>"" | WL P seq ""</title>"")",,,,,,,
FMT/103,EXTENSIBLE HYPERTEXT MARKUP LANGUAGE,"(WW B:0-1024 seq ""<!DOCTYPE html PUBLIC \""-//W3C//DTD XHTML 1.1"" | WL B seq ""<html xmlns=\""http://www.w3.org/1999/xhtml\"""" | WL P seq ""<title>"" | WL P seq ""</title>"")",,,,,,,
