PUID,FORMAT NAME,SIGNATURE
FMT/1190,ADOBE SWC PACKAGE,"catalog.xml | (F P:0 seq ""<?xml version=\""1.0\"" ?>"" | WW B:23-50 seq ""<swc xmlns=\""http://www.adobe.com/flash/swccatalog/"")"
FMT/136,OPENDOCUMENT TEXT,"META-INF/manifest.xml | (WW B:0-1024 seq ""manifest:media-type=\""application/vnd.oasis.opendocument.text""); content.xml | (WW B:0-128 seq ""office:document-content"" | WL P seq ""office:version="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""1.0"" | F P:0 c[seq ""\"""",seq ""'""]) META-INF/manifest.xml | (WW B:0-1024 seq ""manifest:media-type=\""application/vnd.sun.xml.writer""); content.xml | (WW B:0-128 seq ""office:document-content"" | WL P seq ""office:version="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""1.0"" | F P:0 c[seq ""\"""",seq ""'""])"
FMT/137,OPENDOCUMENT SPREADSHEET,"META-INF/manifest.xml | (WW B:0-1024 seq ""manifest:media-type=\""application/vnd.oasis.opendocument.spreadsheet""); content.xml | (WW B:0-128 seq ""office:document-content"" | WL P seq ""office:version="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""1.0"" | F P:0 c[seq ""\"""",seq ""'""]) META-INF/manifest.xml | (WW B:0-1024 seq ""manifest:media-type=\""application/vnd.sun.xml.calc""); content.xml | (WW B:0-128 seq ""office:document-content"" | WL P seq ""office:version="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""1.0"" | F P:0 c[seq ""\"""",seq ""'""])"
FMT/138,OPENDOCUMENT PRESENTATION,"META-INF/manifest.xml | (WW B:0-1024 seq ""manifest:media-type=\""application/vnd.oasis.opendocument.presentation""); content.xml | (WW B:0-128 seq ""office:document-content"" | WL P seq ""office:version="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""1.0"" | F P:0 c[seq ""\"""",seq ""'""])"
FMT/140,OPENDOCUMENT DATABASE FORMAT,"META-INF/manifest.xml | (WW B:0-1024 seq ""manifest:media-type=\""application/vnd.oasis.opendocument.base""); content.xml | (WW B:0-128 seq ""office:document-content"" | WL P seq ""office:version="" | F P:0 c[seq ""\"""",seq ""'""] | F P:0 seq ""1.0"" | F P:0 c[seq ""\"""",seq ""'""])"
FMT/161,SIARD (SOFTWARE-INDEPENDENT ARCHIVING OF RELATIONAL DATABASES),"header/metadata.xml | (WW B:50-256 seq ""xmlns=\""http://www.bar.admin.ch/xmlns/siard/1.0/metadata.xsd\"""")"
FMT/214,MICROSOFT EXCEL FOR WINDOWS,"[Content_Types].xml | (WW B:0-40000 seq ""ContentType=\""application/vnd.openxmlformats-officedocument.spreadsheetml.sheet.main+xml\"""") [Content_Types].xml | (WW B:0-32768 seq ""C\x00o\x00n\x00t\x00e\x00n\x00t\x00T\x00y\x00p\x00e\x00=\x00\""\x00a\x00p\x00p\x00l\x00i\x00c\x00a\x00t\x00i\x00o\x00n\x00/\x00v\x00n\x00d\x00.\x00o\x00p\x00e\x00n\x00x\x00m\x00l\x00f\x00o\x00r\x00m\x00a\x00t\x00s\x00-\x00o\x00f\x00f\x00i\x00c\x00e\x00d\x00o\x00c\x00u\x00m\x00e\x00n\x00t\x00.\x00s\x00p\x00r\x00e\x00a\x00d\x00s\x00h\x00e\x00e\x00t\x00m\x00l\x00.\x00s\x00h\x00e\x00e\x00t\x00.\x00m\x00a\x00i\x00n\x00+\x00x\x00m\x00l\x00\""\x00"") [Content_Types].xml | (WW B:0-32768 seq ""\x00C\x00o\x00n\x00t\x00e\x00n\x00t\x00T\x00y\x00p\x00e\x00=\x00\""\x00a\x00p\x00p\x00l\x00i\x00c\x00a\x00t\x00i\x00o\x00n\x00/\x00v\x00n\x00d\x00.\x00o\x00p\x00e\x00n\x00x\x00m\x00l\x00f\x00o\x00r\x00m\x00a\x00t\x00s\x00-\x00o\x00f\x00f\x00i\x00c\x00e\x00d\x00o\x00c\x00u\x00m\x00e\x00n\x00t\x00.\x00s\x00p\x00r\x00e\x00a\x00d\x00s\x00h\x00e\x00e\x00t\x00m\x00l\x00.\x00s\x00h\x00e\x00e\x00t\x00.\x00m\x00a\x00i\x00n\x00+\x00x\x00m\x00l\x00\"""")"
FMT/215,MICROSOFT POWERPOINT FOR WINDOWS,"[Content_Types].xml | (WL B seq ""ContentType=\""application/vnd.openxmlformats-officedocument.presentationml.presentation.main+xml\"""") [Content_Types].xml | (WL B seq ""C\x00o\x00n\x00t\x00e\x00n\x00t\x00T\x00y\x00p\x00e\x00=\x00\""\x00a\x00p\x00p\x00l\x00i\x00c\x00a\x00t\x00i\x00o\x00n\x00/\x00v\x00n\x00d\x00.\x00o\x00p\x00e\x00n\x00x\x00m\x00l\x00f\x00o\x00r\x00m\x00a\x00t\x00s\x00-\x00o\x00f\x00f\x00i\x00c\x00e\x00d\x00o\x00c\x00u\x00m\x00e\x00n\x00t\x00.\x00p\x00r\x00e\x00s\x00e\x00n\x00t\x00a\x00t\x00i\x00o\x00n\x00m\x00l\x00.\x00p\x00r\x00e\x00s\x00e\x00n\x00t\x00a\x00t\x00i\x00o\x00n\x00.\x00m\x00a\x00i\x00n\x00+\x00x\x00m\x00l\x00\""\x00"") [Content_Types].xml | (WL B seq ""\x00C\x00o\x00n\x00t\x00e\x00n\x00t\x00T\x00y\x00p\x00e\x00=\x00\""\x00a\x00p\x00p\x00l\x00i\x00c\x00a\x00t\x00i\x00o\x00n\x00/\x00v\x00n\x00d\x00.\x00o\x00p\x00e\x00n\x00x\x00m\x00l\x00f\x00o\x00r\x00m\x00a\x00t\x00s\x00-\x00o\x00f\x00f\x00i\x00c\x00e\x00d\x00o\x00c\x00u\x00m\x00e\x00n\x00t\x00.\x00p\x00r\x00e\x00s\x00e\x00n\x00t\x00a\x00t\x00i\x00o\x00n\x00m\x00l\x00.\x00p\x00r\x00e\x00s\x00e\x00n\x00t\x00a\x00t\x00i\x00o\x00n\x00.\x00m\x00a\x00i\x00n\x00+\x00x\x00m\x00l\x00\"""")"
FMT/274,SPSS OUTPUT FILE (SPV),"outputViewer0000000000.xml | (WW B:1-256 seq ""xml.spss.com/spss/viewer"") outputViewer0000000000_heading.xml | (WW B:1-256 seq ""xml.spss.com/spss/viewer"")"
FMT/290,OPENDOCUMENT TEXT,"META-INF/manifest.xml | (WW B:0-1024 seq ""manifest:media-type=\""application/vnd.oasis.opendocument.text""); content.xml | (WW B:0-128 seq ""office:document-content"")"
